first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate,estimated_hash_rate_growth,expected_event_interval
0,32255,519103.8999999981,16.093250868055495,965.5950520833297,1.0,4448000.522303162,0,600
32256,34271,18285.049999999992,9.069965277777774,544.1979166666664,1.182899534312841,9335785.122895302,0.7414002043758968,681.8730749096388
34272,36287,19577.31666666664,9.710970568783056,582.6582341269833,1.305062131591525,9620046.274351738,0.029994196141276276,536.1175170314813
36288,38303,14907.600000000008,7.394642857142861,443.6785714285717,1.344224970771029,13012578.609191613,0.30206740008530997,502.88729104203213
38304,40319,14518.933333333329,7.20185185185185,432.111111111111,1.818648536145414,18076452.52531897,0.3286936508545232,378.1349479579119
40320,42335,13502.166666666664,6.697503306878306,401.8501984126984,2.527738215072359,27016418.081833478,0.4018346324757501,355.8411316895334
42336,44351,16834.500000000004,8.35044642857143,501.02678571428584,3.781179252033766,32413518.97912254,0.1821308299094414,367.3796320691238
44352,46367,20019.500000000022,9.93030753968255,595.818452380953,4.531081750070693,32662378.706615217,0.007648329088626548,499.1156522742798
46368,48383,15133.84999999999,7.506870039682535,450.41220238095207,4.56516291033707,43531736.70065535,0.2872663341030594,517.8775873689957
48384,50399,15698.266666666654,7.786838624338618,467.21031746031707,6.085476906000794,55942523.773689225,0.2508345510752848,398.36397691831905
50400,52415,13754.71666666667,6.822776124338627,409.3665674603176,7.819796993353832,82043271.28172116,0.3829220041561921,388.16116121939774
52416,54431,17989.166666666642,8.92319775132274,535.3918650793644,11.46431580551412,91967892.43034178,0.11419271417572119,386.8580863428104
54432,56447,21873.06666666666,10.849735449735446,650.9841269841268,12.84918314782378,84774450.117373,-0.08144531920016097,557.7986028072141
56448,58463,14371.033333333298,7.12848875661374,427.7093253968244,11.84622814970471,118957337.2914681,0.3387707170622021,552.1817425369256
58464,60479,19289.050000000014,9.567981150793658,574.0788690476195,16.61907875185736,124335528.7528534,0.044218869673795985,418.39077055683344
60480,62495,18071.18333333336,8.963880621693134,537.832837301588,17.38148815814011,138803208.01825953,0.11007337197963209,543.6115296828812
62496,64511,16649.016666666656,8.258440806878301,495.5064484126981,19.40479632838217,168197539.87646896,0.19208196092245933,489.33320554099095
64512,66527,10443.400000000001,5.180257936507937,310.8154761904762,23.50125722290317,324749373.56528497,0.6579146053220336,363.0693769618211
66528,68543,4831.050000000006,2.3963541666666694,143.78125000000017,45.38582234101263,1355744387.0929983,1.429052219063773,165.39915489469274
68544,70559,14988.383333333324,7.43471395502645,446.082837301587,181.5432893640505,1747932055.2736442,0.25408273984190716,126.96864294944339
70560,72575,14006.983333333319,6.947908399470893,416.8745039682536,244.2132230923753,2516075692.919758,0.3642670165148219,373.8646482740376
72576,74591,13876.199999999973,6.883035714285701,412.9821428571421,352.1612090680101,3662436504.8881307,0.3754282146316345,347.5598920367607
74592,76607,16562.249999999978,8.215401785714274,492.9241071428564,511.7735342566043,4459206926.054085,0.19684229330627706,374.8766882094658
76608,78623,17640.76666666666,8.750380291005287,525.0228174603172,623.3869598689275,5099638561.122681,0.13419873590088785,461.28041257414725
78624,80639,15660.783333333331,7.7682457010582,466.094742063492,712.8848645520973,6569087575.43453,0.25320527859417874,463.8257902896107
80640,82655,14032.816666666688,6.960722552910063,417.6433531746038,917.8307413015116,9438802239.252632,0.3624541452272427,390.9695755667794
82656,84671,19294.049999999996,9.570461309523807,574.2276785714284,1318.670050153592,9863064688.408005,0.043967849973092756,408.59500955840025
84672,86687,12932.299999999994,6.414831349206346,384.88988095238074,1378.028165037326,15377348677.385633,0.4440986208855239,463.67359486747216
86688,88703,14023.799999999972,6.9562499999999865,417.3749999999992,2149.021814946726,22114353791.16327,0.3633313289765577,322.7202889052264
88704,90719,13752.583333333321,6.821717923280417,409.303075396825,3091.736890411797,32442729191.031162,0.38324946562745676,346.70452295672294
90720,92735,13348.650000000021,6.621354166666677,397.2812500000006,4536.353723275037,49042059962.69415,0.41320194037549346,335.2775935381421
92736,94751,17154.24999999991,8.509052579365035,510.5431547619021,6866.898648972739,57768094326.98977,0.16375832549609143,366.4574520749565
94752,96767,13308.5,6.601438492063492,396.0863095238095,8078.195257925088,87596020385.56427,0.41629894551547153,417.6051334936125
96768,98783,17063.049999999985,8.463814484126976,507.8288690476186,12251.9997603745,103621399823.32121,0.16800830297369582,364.6010817100648
98784,100799,17906.88333333332,8.8823826058201,532.9429563492059,14484.1623612254,116727321208.19205,0.1190967562908684,478.7540846867466
100800,102815,17840.883333333335,8.849644510582012,530.9786706349207,16307.42093852398,131907067998.25987,0.12225701753800536,501.6529725058961
102816,104831,16891.266666666656,8.378604497354491,502.7162698412695,18437.64439216629,157522412601.91486,0.17747010605163158,486.53010141415143
104832,106847,17093.45,8.478893849206349,508.73363095238096,22012.38133799388,185838820556.79135,0.16531199151402987,463.36188092599247
106848,108863,14382.816666666673,7.134333664021167,428.06001984127,25997.87992881442,260851373368.1498,0.3390710525372272,431.4600128769946
108864,110879,13269.966666666653,6.5823247354497285,394.9394841269837,36459.88692507513,396501307802.15045,0.41872854500822004,349.74141540682564
110880,112895,14729.433333333327,7.306266534391531,438.3759920634919,55589.51812686866,544635579223.7822,0.3174375695988671,338.3933080812622
112896,114911,22286.833333333387,11.054976851851878,663.2986111111127,76192.61934751371,493359706793.24963,-0.0988783726572316,460.7812861205896
114912,116927,16892.516666666656,8.37922453703703,502.75347222222183,68977.78463020959,589269583415.8915,0.17764523936435123,607.7218094084877
116928,118943,17979.349999999995,8.918328373015871,535.0997023809523,82345.64411296662,660945702005.7502,0.11478791551025937,474.9715597953885
118944,120959,16979.049999999974,8.422147817460305,505.3288690476183,92347.59095209427,784894565297.9407,0.17187770578762412,491.6390690320009
120960,122975,14052.566666666684,6.970519179894189,418.23115079365135,109670.1332924774,1126242354127.1555,0.36109262307177176,424.1512312517998
122976,124991,13019.383333333322,6.4580274470899415,387.48164682539647,157416.4018436489,1744852442203.859,0.43778325060828766,338.7002581625775
124992,127007,11323.716666666685,5.616922949735459,337.01537698412756,244112.4877743364,3111000930931.866,0.578274525416907,294.24889524019824
127008,129023,15455.550000000037,7.666443452380971,459.98660714285825,434877.0455276276,4060515370053.3403,0.2663653868401809,295.8641483281418
129024,131039,13048.96666666667,6.472701719576722,388.3621031746033,567269.530162422,6273537145228.374,0.43503042957934435,372.99135355097764
131040,133055,12822.38333333332,6.360309193121687,381.6185515873012,876954.4935135372,9869779270568.934,0.4531371559507249,312.2832234461427
133056,135071,17806.05000000001,8.832366071428577,529.9419642857147,1379192.288228078,11177800914141.873,0.12445226065643178,358.82711138715564
135072,137087,18656.966666666678,9.254447751322758,555.2668650793655,1563027.996116223,12089959888191.9,0.07844559667285428,509.6891817447952
137088,139103,18059.733333333355,8.95820105820107,537.4920634920642,1690895.803052393,13511533785021.014,0.11116832828358438,525.5154299046159
139104,141119,21087.96666666667,10.460300925925928,627.6180555555557,1888786.705353048,12925499922767.668,-0.0443415767467595,549.5867901906881
141120,143135,20482.650000000056,10.160044642857171,609.6026785714303,1805700.836193673,12722099673161.025,-0.015861485456221996,632.621954301301
143136,145151,20430.116666666676,10.133986441798946,608.0391865079367,1777774.482001465,12557551271837.258,-0.01301843333531361,613.587989879111
145152,147167,20948.950000000004,10.391344246031748,623.4806547619049,1755425.320328703,12092587450465.947,-0.03772952211646345,619.6553305174147
147168,149183,23202.916666666668,11.509383267195767,690.562996031746,1689334.404597101,10506841608145.812,-0.14056603077816138,669.4281907661588
149184,151199,24615.73333333331,12.210185185185175,732.6111111111105,1468195.427220831,8607365146955.638,-0.19940837752016735,764.2291373102411
151200,153215,20348.283333333344,10.093394510582016,605.603670634921,1203461.926379965,8535003776255.28,-0.008442450494468234,735.7123488349177
153216,155231,22049.85000000004,10.937425595238114,656.2455357142868,1192497.750089478,7804607511140.111,-0.08946153283627883,633.5189934098945
155232,157247,19040.216666666693,9.44455191798943,566.6731150793659,1090715.680051267,8266826236142.308,0.0575364012221529,637.723460342365
157248,159263,20079.916666666657,9.96027612433862,597.6165674603171,1155038.333963644,8301061483422.792,0.004132729118708541,565.5037732499138
159264,161279,18721.850000000013,9.286631944444451,557.1979166666671,1159929.497224385,8940915081031.715,0.07425454581004359,575.9678322607948
161280,163295,19288.583333333325,9.567749669312166,574.0649801587299,1250757.739274659,9357762223917.924,0.04556824125996587,544.6933088417334
